TV,radio,jornal,vendas
199.3,2.2,45.0,13.91
121.9,9.1,23.9,14.79
244.2,11.8,64.7,24.09
50.1,12.5,34.9,7.29
6.8,28.6,4.0,9.16
27.0,20.8,46.0,8.59
216.7,2.5,52.2,14.42
138.6,18.7,24.8,19.97
48.4,26.2,63.0,11.6
150.3,5.1,62.2,10.98
45.7,41.7,77.2,18.83
208.9,2.6,71.3,13.9
133.8,46.2,71.8,32.1
114.3,5.0,34.8,11.63
90.5,42.2,86.6,26.08
189.1,45.1,60.4,43.21
108.5,49.0,47.5,30.5
26.3,40.1,68.9,15.68
35.4,39.0,39.7,16.22
288.6,32.1,56.4,51.09
272.6,38.9,81.0,53.07
209.9,6.7,97.5,18.25
79.8,26.8,101.3,17.45
290.8,25.7,55.4,43.07
233.6,42.9,57.2,50.59
215.1,23.1,88.0,32.63
134.8,19.3,34.6,19.4
81.7,32.0,92.1,19.52
28.9,13.3,54.4,7.27
270.8,7.0,12.7,22.93
136.7,23.9,7.9,24.68
60.7,20.8,92.6,12.65
91.8,11.6,6.1,11.81
173.8,18.4,30.9,23.7
53.0,18.3,36.8,11.25
257.0,16.4,19.0,30.76
227.6,19.0,34.5,26.36
215.8,34.3,81.7,39.07
129.6,14.8,1.6,16.13
188.2,47.4,91.0,42.79
175.2,45.8,94.2,40.99
195.0,24.0,40.9,28.46
25.3,16.4,16.9,8.11
124.7,26.8,66.1,24.41
12.5,42.4,13.2,12.72
148.2,32.6,40.1,28.22
99.0,40.2,105.4,26.17
43.4,26.6,109.5,14.45
31.0,31.6,84.9,11.92
176.3,14.4,34.2,19.77
51.2,36.7,75.6,18.17
277.5,10.1,77.6,25.19
174.3,34.7,42.7,35.25
104.1,43.0,70.5,28.39
177.3,6.6,1.2,16.43
6.8,30.7,23.0,8.4
287.6,4.8,57.8,20.85
144.7,36.3,18.0,30.9
234.8,4.2,18.2,15.82
24.8,46.8,92.0,14.31
146.0,6.9,108.8,14.55
147.2,47.9,61.2,38.12
281.3,40.0,92.3,53.77
171.5,29.7,108.9,30.57
142.0,39.1,15.6,33.79
80.1,39.8,49.3,20.32
99.5,47.3,43.2,27.84
156.2,12.7,8.8,16.93
131.7,29.5,83.1,27.19
6.5,4.8,47.7,4.53
247.9,30.8,51.6,42.46
268.8,8.6,16.6,21.97
42.1,28.2,19.9,12.19
166.2,28.6,99.8,29.84
32.6,23.3,4.9,11.02
201.7,26.1,25.6,32.56
84.4,38.2,32.1,22.84
197.8,40.0,53.9,42.06
218.1,24.6,64.5,32.83
230.6,30.0,54.3,39.49
32.3,46.6,9.3,18.42
274.8,6.0,26.8,19.34
69.1,5.9,92.8,5.62
11.2,4.4,70.1,5.59
166.5,32.9,71.4,33.56
111.3,20.9,73.7,17.29
248.9,38.7,83.9,46.46
242.5,33.6,6.4,43.34
95.1,16.7,40.3,16.01
285.9,44.9,59.3,62.7
87.3,38.1,37.2,24.1
154.5,13.5,92.9,17.98
76.8,18.2,53.1,12.74
280.8,15.7,84.5,31.18
49.4,7.9,93.7,7.4
13.5,7.4,55.5,3.98
130.5,46.8,100.1,37.36
297.7,21.9,64.6,41.15
267.5,19.2,93.5,34.57
224.6,36.5,37.5,42.0
267.2,27.6,54.9,42.16
268.0,46.8,58.5,60.02
155.7,39.0,11.5,35.01
94.8,24.0,43.8,19.67
231.6,18.8,100.9,30.09
198.5,49.3,69.4,49.71
112.1,35.9,19.5,26.9
28.3,47.6,37.3,17.42
224.0,5.9,21.1,15.91
78.7,42.5,2.7,24.08
281.0,31.9,102.0,46.28
72.3,6.1,49.3,7.08
36.8,29.4,33.8,15.23
249.3,34.3,65.8,46.91
46.0,0.6,0.8,6.84
53.8,22.7,30.6,13.42
179.8,41.3,77.3,41.41
262.4,14.8,69.7,28.64
58.9,22.9,108.0,13.99
93.1,22.1,68.2,15.84
